Time_stamps, X_hand,Y_hand,Z_hand,W_hand,X_gripper,Y_gripper,Z_gripper,W_gripper
39.7917,-0.0568037145,-0.576537967,-0.323854685,-0.747994363,0.2956661,0.53463906,-0.427408665,0.6663816
39.8253,-0.0753875747,-0.5851075,-0.3137061,-0.7440124,0.2956661,0.53463906,-0.427408665,0.6663816
39.8594,-0.07893218,-0.5848813,-0.312836,-0.744188964,0.2956661,0.53463906,-0.427408665,0.6663816
39.8981,-0.08537546,-0.5861949,-0.3105291,-0.743409932,0.2964224,0.5338399,-0.4285412,0.6659587
39.9603,-0.09109288,-0.587399662,-0.312001228,-0.741160631,0.297575265,0.5327666,-0.4301046,0.6652959
39.9957,-0.09331213,-0.5888136,-0.3117479,-0.739868,0.309954077,0.5273814,-0.439993918,0.657421231
40.0292,-0.0984061658,-0.5875695,-0.314682573,-0.7389541,0.3118108,0.5266194,-0.441401064,0.656209648
40.0934,-0.09912699,-0.586278737,-0.318555951,-0.7382231,0.313420922,0.5261441,-0.442416221,0.6551394
40.1264,-0.09896355,-0.585338354,-0.3210572,-0.7379075,0.318240374,0.5264876,-0.443530649,0.651777864
40.1597,-0.0991656557,-0.585195959,-0.321489632,-0.7378051,0.3213556,0.526992559,-0.443929225,0.6495662
40.1927,-0.09697883,-0.581696868,-0.326497138,-0.7386634,0.322005153,0.5281091,-0.44292146,0.6490254
40.2403,-0.09711283,-0.581031442,-0.326729625,-0.739066541,0.322285861,0.529239237,-0.441786021,0.6487394
40.2611,-0.09702953,-0.580532134,-0.32753545,-0.739113152,0.3224298,0.5316681,-0.4391996,0.6484379
40.2940,-0.09823062,-0.581100166,-0.32687363,-0.738801062,0.3225204,0.533186436,-0.437577039,0.6482431
40.3277,-0.103413939,-0.5804523,-0.332138121,-0.7362506,0.322748959,0.534591,-0.4361154,0.647957444
40.3833,-0.103388973,-0.5805115,-0.331549853,-0.7364726,0.322647482,0.5352329,-0.4353843,0.6479697
40.4268,-0.103811346,-0.582128048,-0.328901052,-0.736324847,0.322446972,0.535734057,-0.4347764,0.64806354
40.4605,-0.109879248,-0.586294,-0.3260452,-0.7334034,0.323750764,0.5385289,-0.4321048,0.6468829
40.5096,-0.111190684,-0.587225,-0.326515317,-0.7322508,0.324892282,0.5391562,-0.4317563,0.646020234
40.5250,-0.111190684,-0.587225,-0.326515317,-0.7322508,0.325318366,0.5391659,-0.431872368,0.645719945
40.5576,-0.114696048,-0.5905156,-0.32610333,-0.729241252,0.3268338,0.538384736,-0.433179319,0.64473027
40.5912,-0.112655677,-0.590220332,-0.3260737,-0.72981143,0.327197433,0.5381488,-0.433545351,0.644496739
40.6391,-0.111284874,-0.590285957,-0.3266925,-0.7296919,0.3290272,0.536868155,-0.435484141,0.6433251
40.6584,-0.110084563,-0.592020154,-0.3276962,-0.728017032,0.329670966,0.5362234,-0.436376244,0.64292866
40.6920,-0.109318711,-0.5918385,-0.327795416,-0.7282354,0.329891682,0.535489559,-0.437241375,0.642839253
40.7272,-0.1096217,-0.594263136,-0.326120049,-0.7269664,0.329651922,0.535243,-0.437440872,0.643031955
40.7607,-0.109998755,-0.594629467,-0.326012969,-0.726657867,0.329044819,0.5350342,-0.4374922,0.643481553
40.7929,-0.10979896,-0.595262468,-0.325110734,-0.726574,0.328948647,0.534993052,-0.43750906,0.643553436
40.8268,-0.10920836,-0.595520556,-0.325000882,-0.72650075,0.3282617,0.534215748,-0.4381557,0.6441097
40.8603,-0.1084024,-0.5958926,-0.325044781,-0.7262967,0.327584267,0.5335929,-0.4386355,0.644644141
40.9100,-0.1078218,-0.5955406,-0.3260375,-0.7262269,0.326865315,0.5330532,-0.439011484,0.6451994
40.9268,-0.105498113,-0.596474946,-0.326541066,-0.725574732,0.326324254,0.532719553,-0.439214915,0.6456102
40.9608,-0.103078276,-0.5972686,-0.325588465,-0.7256979,0.325707257,0.5318947,-0.4399284,0.646115839
40.9936,-0.100068331,-0.5967398,-0.323563725,-0.7274576,0.3248729,0.53190273,-0.439673126,0.646702945
41.0392,-0.100050069,-0.597252965,-0.323233515,-0.7271857,0.3236279,0.5317487,-0.439470261,0.6475911
41.0925,-0.09613812,-0.5960686,-0.320751876,-0.729779363,0.322199941,0.531246066,-0.439588428,0.648634553
41.1249,-0.0943151638,-0.5947811,-0.324049532,-0.72961086,0.3192576,0.5295568,-0.440529436,0.65082866
