Time_stamps, X_hand,Y_hand,Z_hand,W_hand,X_gripper,Y_gripper,Z_gripper,W_gripper
28.3801,-0.3445182,0.913476765,0.211083531,-0.0480747558,0.7338116,0.5427746,-0.368161678,0.177124709
28.4084,-0.3466571,0.9129734,0.209439233,-0.0494336262,0.7338116,0.5427746,-0.368161678,0.177124709
28.4407,-0.3522829,0.9111134,0.208277732,-0.0488840155,0.7338116,0.5427746,-0.368161678,0.177124709
28.4746,-0.363878161,0.9074555,0.2047962,-0.0466446877,0.733447969,0.5430042,-0.36822924,0.177785486
28.5108,-0.3670058,0.9064651,0.203605771,-0.04660917,0.732533634,0.5437354,-0.368190974,0.179392755
28.5609,-0.384083539,0.9008709,0.197329983,-0.0444107,0.731234252,0.545435965,-0.367248833,0.181450561
28.5923,-0.38681978,0.8996716,0.197206333,-0.04550957,0.7276913,0.549919248,-0.3647961,0.187024027
28.6251,-0.392996371,0.897422254,0.195347339,-0.0450182781,0.7257047,0.552280545,-0.363570154,0.190145984
28.6658,-0.398670763,0.8952881,0.193321288,-0.0463441871,0.723407447,0.5549007,-0.362254739,0.193748042
28.6927,-0.400677949,0.8946399,0.191982314,-0.04711041,0.7214097,0.5571933,-0.3610528,0.196836382
28.7285,-0.400999516,0.8943622,0.192493767,-0.04755881,0.718855,0.560041,-0.359577179,0.200763151
28.7437,-0.401117265,0.894274354,0.19265902,-0.0475483,0.7153673,0.5636356,-0.35787043,0.20613876
28.7795,-0.4030208,0.893456459,0.192491,-0.04750871,0.7153673,0.5636356,-0.35787043,0.20613876
28.7966,-0.4043866,0.892820656,0.1925044,-0.04780039,0.713288069,0.5656491,-0.356982559,0.209343582
28.8343,-0.4038722,0.8929769,0.193220571,-0.0463182367,0.7111734,0.567736864,-0.355989456,0.21255286
28.8984,-0.4075313,0.891694546,0.191699028,-0.0452846,0.7091858,0.5697267,-0.354986042,0.215526968
28.9309,-0.410014182,0.890851,0.190459326,-0.0447001122,0.706891239,0.5721715,-0.353585124,0.218865424
28.9626,-0.4109951,0.890589833,0.1897126,-0.04406689,0.705738842,0.5736638,-0.3524992,0.2204241
29.0148,-0.4111783,0.890533,0.1896193,-0.0439083278,0.705477238,0.573764741,-0.352580726,0.220868185
29.0267,-0.409200042,0.8913963,0.189738512,-0.0443546176,0.704746366,0.574326158,-0.352418453,0.221998245
29.0634,-0.413447618,0.8891498,0.190706626,-0.04587745,0.7042818,0.574966967,-0.351919353,0.222604528
29.0942,-0.414919257,0.8891646,0.187381819,-0.046004,0.7039943,0.5755627,-0.351332724,0.222901151
29.1335,-0.41348803,0.8898973,0.186931759,-0.04655162,0.7034365,0.5766842,-0.350237846,0.223485559
29.1635,-0.417304546,0.888230443,0.1865081,-0.0460252352,0.702569,0.577654958,-0.349606633,0.224692553
29.1803,-0.4193043,0.8870843,0.187301472,-0.0467272438,0.7015028,0.5781623,-0.349780977,0.226440519
29.2152,-0.419308275,0.887087166,0.187282667,-0.04671376,0.701062262,0.577989161,-0.350384921,0.227311835
29.2454,-0.416482717,0.8876284,0.190262,-0.0495827459,0.7001619,0.578462541,-0.350460619,0.228761241
29.2858,-0.413892955,0.8882055,0.19200471,-0.05401595,0.699400544,0.579263568,-0.349961638,0.229824677
29.3113,-0.4113742,0.8890053,0.193139121,-0.05601946,0.6991017,0.5796621,-0.349647164,0.230207518
29.3458,-0.41168493,0.8891538,0.192381829,-0.0539471023,0.699164748,0.5802704,-0.348745465,0.229851067
29.3807,-0.411680341,0.8891597,0.192364782,-0.0539458655,0.699212,0.580299854,-0.3486658,0.229753613
