Time_stamps, X_hand,Y_hand,Z_hand,W_hand,X_gripper,Y_gripper,Z_gripper,W_gripper
26.8346,-0.117139973,0.747169435,0.367012739,-0.5415882,-0.695083737,0.370583445,-0.370583445,0.492132425
26.8713,-0.117145851,0.747173965,0.36699596,-0.541592062,-0.695083737,0.370583445,-0.370583445,0.492132425
26.8990,-0.131180823,0.742369,0.37492767,-0.539545357,-0.695083737,0.370583445,-0.370583445,0.492132425
26.9566,-0.140218154,0.7409766,0.3751134,-0.539057136,-0.695083737,0.370583445,-0.370583445,0.492132425
26.9829,-0.142535135,0.7399711,0.3754939,-0.539565444,-0.691830337,0.36985895,-0.36985895,0.497774661
27.0171,-0.145910859,0.7385795,0.374681234,-0.5411324,-0.686616242,0.3691135,-0.3691135,0.506032169
27.0508,-0.148100421,0.737217247,0.37553063,-0.5418061,-0.68484515,0.3674197,-0.3674197,0.5108744
27.1039,-0.149129689,0.732725263,0.378051281,-0.545849144,-0.68370074,0.3655334,-0.3655334,0.515095949
27.1233,-0.1491385,0.732712865,0.378065944,-0.5458533,-0.683057666,0.3636162,-0.3636162,0.5186509
27.1512,-0.154323623,0.7329661,0.378988,-0.543427169,-0.6825174,0.3626518,-0.3626518,0.5207086
27.1851,-0.148682043,0.7328925,0.37579295,-0.5473042,-0.6820702,0.361967862,-0.361967862,0.522244
27.2223,-0.158335179,0.7315532,0.380128026,-0.5433808,-0.68117255,0.361122251,-0.361122251,0.5245812
27.2665,-0.163333237,0.7329884,0.379015267,-0.540738046,-0.6801025,0.360328376,-0.360328376,0.527055562
27.2993,-0.165529221,0.732933164,0.380422443,-0.5391548,-0.681270361,0.359749675,-0.359749675,0.5263373
27.3316,-0.155753046,0.734369636,0.376991451,-0.5425124,-0.679090261,0.358459264,-0.358459264,0.5308958
27.3726,-0.155758515,0.734356761,0.376987129,-0.542531252,-0.678565145,0.358254522,-0.358254522,0.5318428
27.4286,-0.153953508,0.7435673,0.3694424,-0.5356476,-0.6774651,0.35804522,-0.35804522,0.5335244
27.4516,-0.153953642,0.7435672,0.3694423,-0.5356477,-0.677069068,0.35798648,-0.35798648,0.534105659
27.4836,-0.181446627,0.741699,0.380720735,-0.521547258,-0.6791879,0.358686,-0.358686,0.5304644
27.5220,-0.19059734,0.7409167,0.383633256,-0.517243266,-0.679861069,0.359071165,-0.359071165,0.5290791
27.5659,-0.192282051,0.7473897,0.377696574,-0.511646032,-0.6801753,0.35921517,-0.35921517,0.528479338
27.6028,-0.194180951,0.7500186,0.374667257,-0.509303868,-0.673763931,0.358979076,-0.358979076,0.5369452
27.6358,-0.196501434,0.750753,0.374294668,-0.50760293,-0.6703949,0.3588002,-0.3588002,0.5413829
27.6562,-0.196501434,0.750753,0.374294668,-0.50760293,-0.6677277,0.3584637,-0.3584637,0.545112252
27.6987,-0.1963056,0.7504734,0.3748033,-0.5077169,-0.667192161,0.3583516,-0.3583516,0.5459147
27.7334,-0.19645223,0.7515363,0.3755416,-0.5055375,-0.665621042,0.3579857,-0.3579857,0.548307538
27.7663,-0.193885684,0.752362847,0.3786197,-0.5029967,-0.6645346,0.357696384,-0.357696384,0.5500003
27.8047,-0.195045367,0.7533674,0.3786338,-0.5010302,-0.6630244,0.357646465,-0.357646465,0.5518846
27.8364,-0.195580333,0.7553619,0.3786778,-0.497774929,-0.661773,0.357996553,-0.357996553,0.552931666
27.8685,-0.194814175,0.7553309,0.3790689,-0.497824639,-0.6595366,0.359484076,-0.359484076,0.5536731
27.8854,-0.191280022,0.755972445,0.38101092,-0.496737629,-0.6567613,0.361080766,-0.361080766,0.554892838
27.9187,-0.190884858,0.7559016,0.380908966,-0.4970756,-0.6561644,0.361598462,-0.361598462,0.554924667
27.9614,-0.1895561,0.7576013,0.3808733,-0.495019525,-0.65542537,0.362428635,-0.362428635,0.5547148
28.0018,-0.190676391,0.7579918,0.381893,-0.4932025,-0.6549434,0.3633529,-0.3633529,0.5540744
28.0365,-0.190433457,0.7574983,0.3846249,-0.491930068,-0.6543918,0.364920467,-0.364920467,0.552664
28.0718,-0.1891016,0.7567635,0.385722548,-0.492714643,-0.653523266,0.366061,-0.366061,0.552182853
28.1125,-0.186688513,0.7537024,0.389721125,-0.495174259,-0.6525989,0.3667958,-0.3667958,0.5523011
28.1636,-0.18474786,0.7532493,0.390779763,-0.4957569,-0.651747167,0.3674406,-0.3674406,0.552449465
28.2008,-0.1835542,0.753298163,0.391243249,-0.4957604,-0.650528967,0.368424445,-0.368424445,0.5525748
28.2346,-0.18038395,0.7519611,0.392652482,-0.497835428,-0.6483278,0.369545668,-0.369545668,0.553663254
28.2750,-0.178690463,0.7516165,0.3939411,-0.4979487,-0.6478693,0.370183319,-0.370183319,0.553348
28.3156,-0.178132072,0.7508578,0.39487204,-0.49855563,-0.6475186,0.37088716,-0.37088716,0.5528156
28.3514,-0.177302316,0.750001669,0.395880073,-0.499340028,-0.647115,0.371715337,-0.371715337,0.552175343
28.3676,-0.17864202,0.749446,0.397600085,-0.498329163,-0.6466062,0.3723824,-0.3723824,0.551872432
28.4056,-0.178117529,0.7488591,0.399954468,-0.4975144,-0.646449566,0.37258175,-0.37258175,0.55178684
