Timestamp,Delta_ms
2025-09-30T18:30:12.9114640Z,3,51
2025-09-30T18:30:12.9568515Z,2,51
2025-09-30T18:30:12.9869947Z,1,52
2025-09-30T18:30:13.0242875Z,3,03
2025-09-30T18:30:13.1043205Z,1,02
2025-09-30T18:30:13.1577298Z,2,53
2025-09-30T18:30:13.2741358Z,3,25
2025-09-30T18:30:13.3078748Z,1,36
2025-09-30T18:30:13.3382488Z,2,03
2025-09-30T18:30:13.3758885Z,2,11
2025-09-30T18:30:13.4404068Z,1,01
2025-09-30T18:30:13.4715004Z,1,01
2025-09-30T18:30:13.5205963Z,2,37
2025-09-30T18:30:13.5575297Z,1,02
2025-09-30T18:30:13.5967613Z,1,02
2025-09-30T18:30:13.6520689Z,1,00
2025-09-30T18:30:13.7097125Z,1,39
2025-09-30T18:30:13.7463653Z,0,00
2025-09-30T18:30:13.8182644Z,0,51
2025-09-30T18:30:13.8605685Z,1,02
2025-09-30T18:30:13.9062940Z,2,00
2025-09-30T18:30:13.9471260Z,2,64
2025-09-30T18:30:14.0197650Z,1,02
2025-09-30T18:30:14.0618899Z,1,02
2025-09-30T18:30:14.1098109Z,2,00
2025-09-30T18:30:14.1531176Z,0,00
2025-09-30T18:30:14.2102029Z,1,00
2025-09-30T18:30:14.2572595Z,2,01
2025-09-30T18:30:14.2902427Z,1,51
2025-09-30T18:30:14.3396638Z,1,00
2025-09-30T18:30:14.4126500Z,3,52
2025-09-30T18:30:14.4540765Z,1,52
2025-09-30T18:30:14.5250494Z,1,00
2025-09-30T18:30:14.6424899Z,3,52
2025-09-30T18:30:14.6815518Z,1,00
2025-09-30T18:30:14.7399782Z,0,00
2025-09-30T18:30:14.7966831Z,0,00
2025-09-30T18:30:14.8397362Z,1,56
2025-09-30T18:30:14.9044424Z,1,00
2025-09-30T18:30:14.9382089Z,1,00
2025-09-30T18:30:14.9728651Z,4,58
2025-09-30T18:30:15.0104181Z,1,54
2025-09-30T18:30:15.1298768Z,1,00
2025-09-30T18:30:15.1887912Z,1,00
2025-09-30T18:30:15.2424312Z,13,58
2025-09-30T18:30:15.2740377Z,1,01
2025-09-30T18:30:15.3039637Z,1,00
2025-09-30T18:30:15.3949229Z,1,00
2025-09-30T18:30:15.4219244Z,1,01
2025-09-30T18:30:15.4796177Z,1,00
2025-09-30T18:30:15.5639185Z,0,00
2025-09-30T18:30:15.6039800Z,0,51
2025-09-30T18:30:15.6436208Z,1,04
2025-09-30T18:30:15.7031708Z,1,01
2025-09-30T18:30:15.7544424Z,1,00
2025-09-30T18:30:15.7935235Z,1,00
2025-09-30T18:30:15.8748130Z,1,00
2025-09-30T18:30:15.9080611Z,1,00
2025-09-30T18:30:15.9386229Z,2,55
2025-09-30T18:30:15.9735429Z,1,51
2025-09-30T18:30:16.0346202Z,2,16
2025-09-30T18:30:16.0855033Z,1,00
2025-09-30T18:30:16.1220751Z,4,80
2025-09-30T18:30:16.1646956Z,3,66
2025-09-30T18:30:16.2427192Z,6,19
2025-09-30T18:30:16.2947311Z,1,00
2025-09-30T18:30:16.3252302Z,2,03
2025-09-30T18:30:16.4152901Z,2,03
2025-09-30T18:30:16.4525228Z,1,63
2025-09-30T18:30:16.4955218Z,0,99
2025-09-30T18:30:16.5747424Z,1,00
2025-09-30T18:30:16.6199792Z,0,51
2025-09-30T18:30:16.6489230Z,2,99
2025-09-30T18:30:16.7472575Z,1,51
2025-09-30T18:30:16.7873819Z,1,51
2025-09-30T18:30:16.8196130Z,1,03
2025-09-30T18:30:16.8700852Z,3,05
2025-09-30T18:30:16.9423845Z,7,70
2025-09-30T18:30:16.9666439Z,2,54
2025-09-30T18:30:17.0078772Z,21,75
2025-09-30T18:30:17.0396772Z,41,73
2025-09-30T18:30:17.1083756Z,34,47
2025-09-30T18:30:17.1479701Z,67,55
2025-09-30T18:30:17.1787360Z,1,53
2025-09-30T18:30:17.2266328Z,1,02
2025-09-30T18:30:17.3138239Z,1,55
2025-09-30T18:30:17.3443984Z,1,01
2025-09-30T18:30:17.3982141Z,3,11
2025-09-30T18:30:17.4796924Z,0,65
2025-09-30T18:30:17.5196317Z,1,01
2025-09-30T18:30:17.5630919Z,1,00
2025-09-30T18:30:17.6114309Z,1,01
2025-09-30T18:30:17.6898936Z,4,22
2025-09-30T18:30:17.7293280Z,2,02
2025-09-30T18:30:17.7752990Z,1,03
2025-09-30T18:30:17.8133914Z,2,57
2025-09-30T18:30:17.8820840Z,6,60
2025-09-30T18:30:17.9183277Z,1,00
2025-09-30T18:30:17.9794229Z,3,59
2025-09-30T18:30:18.0062430Z,1,01
2025-09-30T18:30:18.1247964Z,6,10
2025-09-30T18:30:18.1614098Z,0,00
2025-09-30T18:30:18.2206813Z,1,01
2025-09-30T18:30:18.2684763Z,1,00
2025-09-30T18:30:18.3014465Z,1,02
2025-09-30T18:30:18.3410293Z,2,58
2025-09-30T18:30:18.4112852Z,1,01
2025-09-30T18:30:18.4395666Z,1,00
2025-09-30T18:30:18.4881818Z,2,01
2025-09-30T18:30:18.5779230Z,2,54
2025-09-30T18:30:18.6232898Z,1,53
2025-09-30T18:30:18.6929815Z,1,98
2025-09-30T18:30:18.7528555Z,0,52
2025-09-30T18:30:18.7879859Z,2,53
2025-09-30T18:30:18.8386239Z,2,53
2025-09-30T18:30:18.9120121Z,2,54
2025-09-30T18:30:18.9516558Z,1,01
2025-09-30T18:30:18.9872163Z,0,00
2025-09-30T18:30:19.0479330Z,1,00
2025-09-30T18:30:19.0917510Z,3,53
2025-09-30T18:30:19.1216078Z,1,00
