Timestamp,Delta_ms
2025-09-30T18:43:44.1537173Z,33,08
2025-09-30T18:43:44.1864860Z,33,91
2025-09-30T18:43:44.2338009Z,45,31
2025-09-30T18:43:44.2687879Z,38,01
2025-09-30T18:43:44.3075811Z,37,78
2025-09-30T18:43:44.3218105Z,13,73
2025-09-30T18:43:44.3572878Z,35,45
2025-09-30T18:43:44.4005535Z,42,81
2025-09-30T18:43:44.4350944Z,28,78
2025-09-30T18:43:44.4714716Z,44,13
2025-09-30T18:43:44.5028443Z,29,86
2025-09-30T18:43:44.5347131Z,33,38
2025-09-30T18:43:44.5585620Z,22,84
2025-09-30T18:43:44.5934407Z,35,88
2025-09-30T18:43:44.6404761Z,42,83
2025-09-30T18:43:44.6920653Z,55,80
2025-09-30T18:43:44.7058287Z,12,77
2025-09-30T18:43:44.7445690Z,38,73
2025-09-30T18:43:44.7732339Z,29,14
2025-09-30T18:43:44.8186285Z,40,32
2025-09-30T18:43:44.8589770Z,44,97
2025-09-30T18:43:44.8932279Z,33,72
2025-09-30T18:43:44.9240636Z,31,34
2025-09-30T18:43:44.9706304Z,41,06
2025-09-30T18:43:45.0070603Z,42,95
2025-09-30T18:43:45.0398198Z,31,25
2025-09-30T18:43:45.0758866Z,36,06
2025-09-30T18:43:45.1051482Z,30,78
2025-09-30T18:43:45.1548033Z,48,12
2025-09-30T18:43:45.1715413Z,18,28
2025-09-30T18:43:45.2106744Z,38,14
2025-09-30T18:43:45.2385502Z,27,35
2025-09-30T18:43:45.2768852Z,39,85
2025-09-30T18:43:45.2962034Z,18,32
2025-09-30T18:43:45.3504811Z,35,89
2025-09-30T18:43:45.3760444Z,43,43
2025-09-30T18:43:45.4141406Z,37,55
2025-09-30T18:43:45.4673693Z,42,06
2025-09-30T18:43:45.4930688Z,37,92
2025-09-30T18:43:45.5301225Z,37,06
2025-09-30T18:43:45.5573856Z,26,75
2025-09-30T18:43:45.5893182Z,33,44
2025-09-30T18:43:45.6472058Z,49,29
2025-09-30T18:43:45.6717864Z,32,18
2025-09-30T18:43:45.7065553Z,35,77
2025-09-30T18:43:45.7461588Z,38,09
2025-09-30T18:43:45.7890641Z,35,80
2025-09-30T18:43:45.8234971Z,43,06
2025-09-30T18:43:45.8551306Z,30,64
2025-09-30T18:43:45.8942706Z,39,11
2025-09-30T18:43:45.9338969Z,39,63
2025-09-30T18:43:45.9772828Z,36,18
2025-09-30T18:43:46.0072777Z,37,70
2025-09-30T18:43:46.0472429Z,38,50
2025-09-30T18:43:46.0750435Z,28,80
2025-09-30T18:43:46.1093577Z,34,32
2025-09-30T18:43:46.1607456Z,39,23
2025-09-30T18:43:47.7744626Z,1626,87
2025-09-30T18:43:47.8075272Z,32,07
2025-09-30T18:43:47.8409913Z,33,45
2025-09-30T18:43:47.8740983Z,34,12
2025-09-30T18:43:47.9392445Z,64,15
2025-09-30T18:43:47.9771627Z,36,37
2025-09-30T18:43:48.0058986Z,30,27
2025-09-30T18:43:48.0076036Z,1,53
2025-09-30T18:43:48.0399638Z,32,55
2025-09-30T18:43:48.0409657Z,2,00
2025-09-30T18:43:48.0732048Z,31,24
2025-09-30T18:43:48.0751973Z,2,99
2025-09-30T18:43:48.1313724Z,56,18
2025-09-30T18:43:48.1344323Z,1,51
