Timestamp,Delta_ms
2025-09-30T18:19:11.4145705Z,1,01
2025-09-30T18:19:11.4226021Z,8,53
2025-09-30T18:19:11.4266431Z,1,01
2025-09-30T18:19:11.4322051Z,1,51
2025-09-30T18:19:11.4357426Z,0,53
2025-09-30T18:19:11.4516815Z,2,00
2025-09-30T18:19:11.4577950Z,2,52
2025-09-30T18:19:11.4644147Z,1,02
2025-09-30T18:19:11.4842478Z,4,01
2025-09-30T18:19:11.4965356Z,1,51
2025-09-30T18:19:11.5005886Z,1,03
2025-09-30T18:19:11.5082464Z,1,01
2025-09-30T18:19:11.5130080Z,1,24
2025-09-30T18:19:11.5165256Z,0,99
2025-09-30T18:19:11.5250806Z,1,01
2025-09-30T18:19:11.5316040Z,0,00
2025-09-30T18:19:11.5362623Z,1,01
2025-09-30T18:19:11.5535244Z,1,61
2025-09-30T18:19:11.5577871Z,0,00
2025-09-30T18:19:11.5628231Z,1,52
2025-09-30T18:19:11.5678506Z,1,00
2025-09-30T18:19:11.5762657Z,1,00
2025-09-30T18:19:11.5844536Z,1,01
2025-09-30T18:19:11.6015498Z,0,00
2025-09-30T18:19:11.6091542Z,1,00
2025-09-30T18:19:11.6141920Z,1,01
2025-09-30T18:19:11.6192254Z,1,00
2025-09-30T18:19:11.6263027Z,2,01
2025-09-30T18:19:11.6326442Z,1,27
2025-09-30T18:19:11.6473425Z,1,52
2025-09-30T18:19:11.6649639Z,8,57
2025-09-30T18:19:11.6745566Z,0,96
2025-09-30T18:19:11.6882020Z,1,00
2025-09-30T18:19:11.6962959Z,2,02
2025-09-30T18:19:11.7013323Z,2,49
2025-09-30T18:19:11.7115328Z,3,52
2025-09-30T18:19:11.7199679Z,1,00
2025-09-30T18:19:11.7292310Z,2,52
2025-09-30T18:19:11.7332528Z,6,59
2025-09-30T18:19:11.7417482Z,2,51
2025-09-30T18:19:11.7499980Z,1,51
2025-09-30T18:19:11.7588271Z,1,52
2025-09-30T18:19:11.7714761Z,0,00
2025-09-30T18:19:11.7787477Z,2,02
2025-09-30T18:19:11.7865838Z,1,52
2025-09-30T18:19:11.8201036Z,1,01
2025-09-30T18:19:11.8413193Z,4,06
2025-09-30T18:19:11.8677969Z,2,01
2025-09-30T18:19:11.8866252Z,1,01
2025-09-30T18:19:11.9029432Z,1,02
2025-09-30T18:19:11.9123702Z,1,51
2025-09-30T18:19:11.9184886Z,1,02
2025-09-30T18:19:11.9256460Z,0,52
2025-09-30T18:19:11.9347819Z,2,06
2025-09-30T18:19:11.9403153Z,0,00
2025-09-30T18:19:11.9448506Z,1,01
2025-09-30T18:19:11.9493672Z,1,00
2025-09-30T18:19:11.9539043Z,1,00
2025-09-30T18:19:11.9649679Z,1,01
2025-09-30T18:19:11.9780956Z,0,00
2025-09-30T18:19:11.9942192Z,1,41
2025-09-30T18:19:11.9987521Z,0,00
2025-09-30T18:19:12.0066574Z,0,00
2025-09-30T18:19:12.0116676Z,2,03
2025-09-30T18:19:12.0167499Z,1,00
2025-09-30T18:19:12.0248062Z,1,02
2025-09-30T18:19:12.0298881Z,2,07
2025-09-30T18:19:12.0346225Z,1,20
2025-09-30T18:19:12.0391478Z,1,51
2025-09-30T18:19:12.0467165Z,1,51
2025-09-30T18:19:12.0562829Z,0,00
2025-09-30T18:19:12.0643209Z,7,03
2025-09-30T18:19:12.0693783Z,0,00
2025-09-30T18:19:12.0763856Z,1,01
2025-09-30T18:19:12.0856828Z,0,00
2025-09-30T18:19:12.0940598Z,6,05
2025-09-30T18:19:12.0976039Z,1,53
2025-09-30T18:19:12.1165929Z,4,04
2025-09-30T18:19:12.1302817Z,2,03
2025-09-30T18:19:12.1383874Z,1,01
2025-09-30T18:19:12.1485892Z,2,07
2025-09-30T18:19:12.1547154Z,3,10
2025-09-30T18:19:12.1600740Z,1,99
2025-09-30T18:19:12.1651283Z,1,00
2025-09-30T18:19:12.1733153Z,1,51
2025-09-30T18:19:12.1783294Z,2,00
2025-09-30T18:19:12.1891176Z,2,53
2025-09-30T18:19:12.1988080Z,0,00
2025-09-30T18:19:12.2049373Z,1,00
2025-09-30T18:19:12.2144163Z,2,04
2025-09-30T18:19:12.2189336Z,0,00
2025-09-30T18:19:12.2265281Z,1,00
2025-09-30T18:19:12.2350158Z,8,49
2025-09-30T18:19:12.2400457Z,1,51
2025-09-30T18:19:12.2542689Z,2,52
2025-09-30T18:19:12.2693652Z,3,04
2025-09-30T18:19:12.2754046Z,1,00
2025-09-30T18:19:12.2841340Z,2,03
2025-09-30T18:19:12.2901832Z,2,53
2025-09-30T18:19:12.3050078Z,3,63
2025-09-30T18:19:12.3148379Z,4,73
2025-09-30T18:19:12.3225073Z,2,04
2025-09-30T18:19:12.3289463Z,1,02
2025-09-30T18:19:12.3385669Z,1,55
2025-09-30T18:19:12.3446580Z,2,02
2025-09-30T18:19:12.3542461Z,1,00
2025-09-30T18:19:12.3618936Z,3,02
2025-09-30T18:19:12.3674504Z,1,51
2025-09-30T18:19:12.3734987Z,2,00
2025-09-30T18:19:12.3780291Z,0,00
2025-09-30T18:19:12.3873996Z,0,51
2025-09-30T18:19:12.3974556Z,10,06
2025-09-30T18:19:12.4100068Z,1,00
2025-09-30T18:19:12.4150833Z,0,99
2025-09-30T18:19:12.4246602Z,2,00
2025-09-30T18:19:12.4300018Z,2,00
2025-09-30T18:19:12.4384125Z,1,02
2025-09-30T18:19:12.4443304Z,1,99
2025-09-30T18:19:12.4526621Z,2,00
2025-09-30T18:19:12.4596199Z,1,00
2025-09-30T18:19:12.4696637Z,2,01
2025-09-30T18:19:12.4742911Z,2,07
2025-09-30T18:19:12.4808238Z,0,00
2025-09-30T18:19:12.4905556Z,1,00
2025-09-30T18:19:12.5026369Z,1,51
2025-09-30T18:19:12.5076814Z,1,02
2025-09-30T18:19:12.5142211Z,2,00
2025-09-30T18:19:12.5238337Z,0,00
2025-09-30T18:19:12.5383085Z,0,00
2025-09-30T18:19:12.5539135Z,0,00
2025-09-30T18:19:12.5655142Z,10,07
2025-09-30T18:19:12.5705259Z,1,00
2025-09-30T18:19:12.5751948Z,1,01
2025-09-30T18:19:12.5852915Z,1,01
2025-09-30T18:19:12.5898484Z,0,00
2025-09-30T18:19:12.5999279Z,1,51
2025-09-30T18:19:12.6045558Z,1,52
2025-09-30T18:19:12.6176125Z,1,98
2025-09-30T18:19:12.6226369Z,2,01
2025-09-30T18:19:12.6293653Z,1,19
2025-09-30T18:19:12.6484744Z,1,01
2025-09-30T18:19:12.6540763Z,0,00
2025-09-30T18:19:12.6601309Z,1,01
2025-09-30T18:19:12.6762675Z,3,59
2025-09-30T18:19:12.6914599Z,1,00
2025-09-30T18:19:12.6991712Z,1,51
2025-09-30T18:19:12.7163447Z,1,01
2025-09-30T18:19:12.7240063Z,2,02
2025-09-30T18:19:12.7333082Z,0,00
2025-09-30T18:19:12.7413770Z,1,52
2025-09-30T18:19:12.7491993Z,2,03
2025-09-30T18:19:12.7578186Z,1,51
2025-09-30T18:19:12.7649100Z,2,54
2025-09-30T18:19:12.7725470Z,1,01
2025-09-30T18:19:12.7796563Z,5,09
2025-09-30T18:19:12.7875365Z,2,89
2025-09-30T18:19:12.7926803Z,0,00
2025-09-30T18:19:12.8004072Z,1,01
2025-09-30T18:19:12.8132616Z,4,13
2025-09-30T18:19:12.8234024Z,0,50
2025-09-30T18:19:12.8279373Z,0,99
2025-09-30T18:19:12.8335032Z,1,01
2025-09-30T18:19:12.8432346Z,1,64
